time,open,high,low,close,tick_volume,spread,real_volume
2022-09-05 03:00:00,0.67882,0.68019,0.67846,0.67871,5865,0,0
2022-09-05 04:00:00,0.67872,0.67991,0.67815,0.67849,6972,0,0
2022-09-05 05:00:00,0.67849,0.67874,0.67733,0.67852,6495,0,0
2022-09-05 06:00:00,0.67852,0.67958,0.67812,0.67941,3564,0,0
2022-09-05 07:00:00,0.67942,0.67948,0.67857,0.67878,3782,1,0
2022-09-05 08:00:00,0.67878,0.67882,0.67767,0.67824,5029,0,0
2022-09-05 09:00:00,0.67824,0.67983,0.67799,0.67943,5597,0,0
2022-09-05 10:00:00,0.67943,0.6795,0.67725,0.67747,6966,0,0
2022-09-05 11:00:00,0.67747,0.67854,0.67731,0.67778,4379,0,0
2022-09-05 12:00:00,0.67775,0.67944,0.67763,0.67941,5023,0,0
2022-09-05 13:00:00,0.6794,0.68024,0.67928,0.67966,3332,0,0
2022-09-05 14:00:00,0.67966,0.68007,0.67872,0.6791,2935,0,0
2022-09-05 15:00:00,0.6791,0.68003,0.67847,0.6798,3292,0,0
2022-09-05 16:00:00,0.67981,0.68008,0.67904,0.67923,3270,0,0
2022-09-05 17:00:00,0.67923,0.67975,0.67876,0.67954,2172,1,0
2022-09-05 18:00:00,0.67954,0.68028,0.67943,0.68022,1789,0,0
2022-09-05 19:00:00,0.68022,0.68037,0.67966,0.67988,892,2,0
2022-09-05 20:00:00,0.6799,0.68012,0.6799,0.6799,233,0,0
2022-09-05 21:00:00,0.67988,0.68013,0.67987,0.68002,237,2,0
2022-09-05 22:00:00,0.68001,0.68013,0.67995,0.67997,253,1,0
2022-09-05 23:00:00,0.67997,0.67999,0.67946,0.67946,287,5,0
2022-09-06 00:00:00,0.67964,0.67981,0.67929,0.67946,189,10,0
2022-09-06 01:00:00,0.67947,0.68124,0.67942,0.68094,1300,0,0
2022-09-06 02:00:00,0.68094,0.68151,0.68074,0.68109,1935,1,0
2022-09-06 03:00:00,0.68107,0.68323,0.68088,0.68299,5362,0,0
